product_id,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
23,efafc2f4-c263-4ed3-91d6-6bb26af90ec9,Female,28,Clothing,5,1500.4,Credit Card,5/8/2022,Kanyon
2,e0e08a20-9e8d-40fd-a377-9a382c50320d,Male,21,Shoes,3,1800.51,Debit Card,12/12/2021,Forum Istanbul
24,b0acf887-e7f6-4626-b33f-e14e18911a80,Male,20,Clothing,1,300.08,Cash,9/11/2021,Metrocity
40,9b999214-a7af-45e5-b46f-9a5658d396e6,Female,66,Shoes,5,3000.85,Credit Card,16/05/2021,Metropol AVM
37,a5a12a83-e7d4-4da9-bd81-a4e9261ad5f0,Female,53,Books,4,60.6,Cash,24/10/2021,Kanyon
7,dea03c34-eef0-4057-8c2e-41bbffe73f3a,Female,28,Clothing,5,1500.4,Credit Card,24/05/2022,Forum Istanbul
33,a9fe1b7d-cac5-4e2a-9a60-0a7561b80897,Female,49,Cosmetics,1,40.66,Cash,13/03/2022,Istinye Park
6,ffb512f8-07c7-43c0-9513-8ca19c621f02,Female,32,Clothing,2,600.16,Credit Card,13/01/2021,Mall of Istanbul
21,20deb9d8-759d-4e0c-a2f2-d20d2ac061d1,Male,69,Clothing,3,900.24,Credit Card,4/11/2021,Metrocity
32,7bf566ba-7dc3-411c-9da2-f568f60ef6ba,Female,60,Clothing,2,600.16,Credit Card,22/08/2021,Kanyon
25,1aa1b5b1-9985-4d2a-9a73-a7ded26bdc85,Female,36,Food & Beverage,2,10.46,Cash,25/12/2022,Metrocity
11,333fef95-1921-4b3c-ba95-c608cda22e41,Female,29,Books,1,15.15,Credit Card,28/10/2022,Emaar Square Mall
45,c7764867-da86-4233-aed2-55f89eadc38d,Female,67,Toys,4,143.36,Debit Card,31/07/2022,Metrocity
52,042e9391-f973-4a59-9a0e-09340f881399,Male,30,Clothing,2,600.16,Cash,17/11/2022,Cevahir AVM
18,bfe76bef-8199-4d3b-a265-4891cf351028,Female,19,Clothing,2,600.16,Credit Card,3/6/2022,Kanyon
9,cb399fcd-6b35-4770-b61b-ecb4baf0f5dc,Male,24,Shoes,5,3000.85,Credit Card,7/11/2021,Viaport Outlet
5,1a17eb65-c965-4c2f-a272-fa5e45af002e,Male,65,Books,2,30.3,Debit Card,16/01/2021,Metrocity
54,b72fdaeb-6adc-441e-9b70-1e5aaf62114b,Female,42,Food & Beverage,3,15.69,Credit Card,5/1/2022,Zorlu Center
35,e0906fa4-92d4-4e58-abe7-d13c6986a6f1,Female,46,Clothing,2,600.16,Cash,26/07/2021,Metropol AVM
19,6106c230-ffd9-47c4-9eb2-07dd81d692cd,Male,24,Toys,4,143.36,Cash,7/3/2023,Cevahir AVM
51,e345adac-2a55-48c6-a5a1-ce5ca336ee91,Male,23,Clothing,1,300.08,Credit Card,15/02/2023,Emaar Square Mall
6,ed62132c-f6c3-4d22-9038-654b1e2a86a5,Female,27,Food & Beverage,1,5.23,Cash,1/5/2021,Cevahir AVM
26,160188ef-8f4d-4605-adeb-a49b81e23210,Male,52,Clothing,2,600.16,Credit Card,18/06/2022,Cevahir AVM
32,49e437f7-11d2-47c5-96b5-0b2322cf3f31,Male,44,Technology,5,5250.0,Cash,26/10/2021,Kanyon
44,c12a7e6e-d474-4a2b-a63e-6113c42d6730,Female,42,Books,5,75.75,Cash,16/12/2022,Metrocity
39,98408720-48d3-4501-b219-df72c5b243ea,Male,51,Toys,2,71.68,Debit Card,16/05/2021,Istinye Park
51,fbcedff0-1c31-4246-ad79-0dacb6053123,Female,25,Cosmetics,5,203.3,Credit Card,20/04/2022,Mall of Istanbul
30,74f7a01b-50a0-47ac-8afa-8393aab65ddf,Male,50,Shoes,4,2400.68,Cash,10/10/2022,Emaar Square Mall
53,67053837-22ba-4520-bf98-fea0e39844ff,Female,65,Shoes,3,1800.51,Cash,23/08/2022,Cevahir AVM
6,f1b8246d-0d1e-4193-8722-302d3f1577cf,Male,29,Cosmetics,3,121.98,Credit Card,29/04/2021,Istinye Park
58,22180a55-ef23-4a78-9891-0f99cb4fbbb1,Female,66,Toys,3,107.52,Debit Card,4/7/2022,Mall of Istanbul
24,6e70cd39-c7cc-4616-9bc4-a9f128bc5bf4,Male,23,Clothing,1,300.08,Credit Card,21/11/2021,Emaar Square Mall
28,fc7a3a7e-dfa0-4913-a0e4-6cb1a995fe05,Female,32,Shoes,3,1800.51,Credit Card,23/02/2022,Kanyon
51,7b848e95-fa72-42d7-8cb5-24025d789261,Male,51,Clothing,4,1200.32,Debit Card,11/7/2021,Metrocity
34,f1653825-bb79-4664-b18b-b6e54c0d904f,Female,66,Shoes,4,2400.68,Credit Card,30/08/2022,Zorlu Center
14,b51cc089-5c86-4fb2-9406-50f3573d75b6,Male,68,Food & Beverage,1,5.23,Credit Card,4/1/2023,Emaar Square Mall
37,86ed6934-38be-4789-b8d4-380c108cbd1f,Male,43,Clothing,5,1500.4,Credit Card,21/06/2022,Kanyon
28,74dbfa06-1978-4ad7-afd1-d48ca56f8ae6,Female,59,Clothing,2,600.16,Credit Card,8/7/2022,Metrocity
25,e450c36d-0819-4397-bd04-64ecc0e2b9be,Male,54,Clothing,2,600.16,Cash,27/02/2022,Kanyon
11,b5dcefb6-91b9-4e22-8755-dd83d661b01e,Male,24,Clothing,1,300.08,Cash,19/12/2022,Metropol AVM
42,7610e5b9-fe1c-4d99-a34d-ff6b36e1aa62,Female,49,Food & Beverage,3,15.69,Cash,10/9/2021,Zorlu Center
51,bd194423-4a51-42dc-84e5-f52b32d7c1a1,Male,67,Cosmetics,2,81.32,Credit Card,14/02/2022,Metropol AVM
50,5e86ca14-7f2f-41b6-9017-dc382d998993,Female,48,Cosmetics,3,121.98,Cash,28/04/2022,Metrocity
24,d9df7787-ba65-4667-99fd-c97ffcfdebfb,Female,40,Shoes,4,2400.68,Cash,20/06/2022,Metrocity
41,fa61c965-3c9a-4fc7-9246-5c9e9caf14d8,Female,41,Shoes,3,1800.51,Credit Card,21/04/2022,Kanyon
19,bf01c264-046d-4853-9bdb-cdc8d3162e4a,Male,46,Books,5,75.75,Credit Card,9/12/2022,Zorlu Center
17,f009a851-8dae-4e17-9a35-55cc6dacd8f7,Female,19,Cosmetics,3,121.98,Credit Card,12/1/2023,Mall of Istanbul
2,7c4d311a-4813-4830-af7f-579b2ceab217,Female,43,Clothing,4,1200.32,Debit Card,7/11/2022,Zorlu Center
23,0ef7e61a-5eb6-4d65-b34b-1fc7f5a6c6ad,Male,18,Cosmetics,3,121.98,Debit Card,7/2/2022,Zorlu Center
33,cc2f23f8-b891-4687-addd-7e0d68a1fc92,Female,22,Books,5,75.75,Debit Card,13/06/2021,Forum Istanbul
41,275ca776-26ed-4848-951e-42b4d73b6844,Female,61,Cosmetics,5,203.3,Cash,23/08/2021,Emaar Square Mall
38,dc4a800e-ef56-4712-b47d-4a6a0d4dc934,Female,41,Books,3,45.45,Cash,24/02/2023,Istinye Park
37,93b254cb-7696-469c-96c1-3165f0379d0b,Female,53,Cosmetics,2,81.32,Credit Card,12/1/2023,Istinye Park
20,b141f46f-20e2-46bb-ad13-7b745bbe8d6f,Female,43,Technology,4,4200.0,Cash,22/02/2022,Metrocity
49,5ea78f37-142c-4d1d-aafa-566441252db1,Female,45,Food & Beverage,3,15.69,Debit Card,12/3/2021,Viaport Outlet
28,337fc737-7aea-4e53-bbfa-384aa7a7298e,Female,29,Clothing,1,300.08,Cash,2/1/2022,Istinye Park
22,66df945a-e0c5-4d4e-8c0b-aa3b8cceb356,Male,43,Toys,2,71.68,Cash,26/11/2021,Kanyon
38,7f2323e3-49df-4bf3-8887-d98067e7d709,Female,19,Clothing,4,1200.32,Credit Card,21/04/2021,Kanyon
16,8a7fe0a1-3e13-481e-b550-1dc0a0ef9f1c,Female,67,Food & Beverage,3,15.69,Cash,23/06/2021,Kanyon
2,4797d76f-566b-487f-97de-4d34cf1cae30,Female,36,Books,4,60.6,Cash,14/12/2021,Kanyon
49,0f4afbe0-846b-439c-8570-579e9e6fa141,Male,64,Clothing,5,1500.4,Credit Card,9/6/2022,Mall of Istanbul
13,8880867f-a757-4eb6-8a32-e9ff6485356c,Female,33,Clothing,1,300.08,Debit Card,26/11/2021,Kanyon
20,5da746b8-9e41-4c7f-85b2-6a8b85e0a8b3,Female,33,Clothing,4,1200.32,Credit Card,5/2/2021,Kanyon
43,b32ea467-02c0-4021-a4b2-cc4df75a647e,Male,66,Clothing,4,1200.32,Cash,6/3/2022,Mall of Istanbul
20,0a316ba0-a78a-4cde-b95b-2a416598b512,Female,29,Cosmetics,4,162.64,Debit Card,9/5/2022,Metropol AVM
47,bd35d036-8dbb-486b-964b-1ab4d1a5425a,Male,22,Toys,3,107.52,Cash,17/10/2022,Mall of Istanbul
11,65abebba-c34b-4853-a26a-4b3fe6d378a1,Female,63,Food & Beverage,3,15.69,Cash,22/01/2022,Cevahir AVM
3,11f33286-aa33-43be-adf7-10f2dd79fa4b,Female,24,Souvenir,5,58.65,Debit Card,14/03/2021,Istinye Park
12,94a86f84-d0dd-4b88-9bad-58df62c69eef,Female,24,Cosmetics,5,203.3,Cash,27/04/2022,Metrocity
3,305ae84e-03ed-4091-aa43-2256c632c522,Female,44,Technology,5,5250.0,Credit Card,19/11/2021,Mall of Istanbul
31,9daa1159-3fd5-4bc3-957e-30fa83f4ac87,Male,34,Shoes,5,3000.85,Cash,10/9/2022,Forum Istanbul
22,1fed11ad-39f0-4bf5-a99f-226e34be510f,Female,47,Cosmetics,4,162.64,Cash,4/9/2021,Kanyon
16,cf85e739-53ff-43e1-b953-eceb43176c38,Male,38,Food & Beverage,5,26.15,Cash,21/08/2022,Mall of Istanbul
21,49a73eca-3f35-4a2f-9fbc-c7a3953f4e1a,Female,57,Shoes,5,3000.85,Debit Card,2/10/2021,Emaar Square Mall
43,235854e4-0a04-4f60-8ef5-c746ed04cef7,Male,67,Toys,3,107.52,Cash,7/1/2023,Emaar Square Mall
58,46e15f74-8564-4455-9498-14723eeb2ed6,Male,41,Souvenir,3,35.19,Credit Card,8/6/2021,Cevahir AVM
57,d168b61e-07fc-4c4d-a29a-a40a5d919d2f,Female,40,Clothing,5,1500.4,Debit Card,17/04/2021,Kanyon
60,ebe44baf-7ad4-4d3f-a149-1eb795438c9a,Female,69,Shoes,4,2400.68,Cash,4/9/2021,Metrocity
35,e5c8e592-9b46-4905-bc56-d2cc152d8eeb,Female,47,Food & Beverage,5,26.15,Cash,20/07/2022,Mall of Istanbul
53,eedcc54f-6fab-42ec-8d37-5d4968b16040,Female,53,Food & Beverage,4,20.92,Credit Card,14/07/2021,Istinye Park
42,d0f37716-67d5-4848-b15e-2930e8f816ea,Male,40,Toys,2,71.68,Cash,1/11/2022,Emaar Square Mall
19,0520a597-a466-45fb-bf98-ac9682eb6dff,Male,60,Cosmetics,4,162.64,Credit Card,6/1/2023,Metrocity
51,c9943c9e-6239-4faf-ba08-ad44199cbc0c,Male,30,Souvenir,2,23.46,Cash,25/03/2021,Kanyon
25,f7844b7c-daa9-48ab-96ab-1dbaa754e15e,Female,66,Clothing,2,600.16,Credit Card,8/9/2022,Istinye Park
35,c1ba9e44-b0c3-41c9-ae12-36b1fe974a7e,Male,22,Food & Beverage,1,5.23,Cash,18/02/2022,Mall of Istanbul
54,f38b5373-7e45-48e7-afc1-9dfe49060390,Male,53,Food & Beverage,2,10.46,Cash,22/04/2021,Kanyon
37,5f480833-4d2f-40c3-bf0a-89042ed4dc36,Female,52,Clothing,5,1500.4,Cash,15/10/2022,Zorlu Center
2,3acf9a99-b34b-45bc-8c42-0304dc374331,Male,26,Shoes,5,3000.85,Cash,7/4/2022,Mall of Istanbul
